Banner ID,Merchant Name,Allow String Matching,Tax id,Disallow string match,Nix if Multiple matches,Prefer if multple matches,Allow on top of receipt only,Match against addresses,Country,Logo-Text_Merchant_Name
151,Martin's Super Markets,Martin's Super Market,,,,,,,US,Martin's Super Markets
8663,HomeGoods,HomeGoods,,,,,,,US,HomeGoods
6137,Academy Sports + Outdoors,Academy Sports + Outdoors,,,,,,,US,Academy Sports + Outdoors
6934,Chipotle,Chipotle,,,,,,,US,Chipotle
6883,Christmas Tree Shops,Christmas Tree Shops,,,,,,,US,Christmas Tree Shops
6210,Burger King,Burger King;bkexperience;BUrger K1ng;Free WHOPPER,,,,,,,US,Burger King
84,Foods Co,Foods Co,,,,,,,US,Foods Co
6162,Dick's Sporting Goods,Dick's Sporting Goods,,,,,,,US,Dick's Sporting Goods
5881,Barnes and Noble,Barnes and Noble,,,,,,,US,Barnes and Noble
5856,Advance Auto Parts,Advance Auto,,,,,,,US,Advance Auto Parts
5853,Sears,Sears,,,,,,,US,Sears
6144,Pet Supplies Plus,Pet Supplies Plus,,,,,,,US,Pet Supplies Plus
6055,Army and Air Force Exchange Service,Army and Air Force Exchange Service,,,,,,,US,Army and Air Force Exchange Service
6281,Wendy's,Wendy's;WENDYS,,,,,,,US,Wendy's
8667,Victoria's Secret,Victorias Secret;Victoria's Secret,,,,,,,US,Victoria's Secret
6273,Sonic,|Sonic|;sonicdrivein;866-OK-SONIC;www.sonic,,,,,,,US,Sonic
7987,GameStop,GameStop,,,,,,,US,GameStop
8668,Lidl,|Lidl|,,,,,,,US,Lidl
6285,Dairy Queen,Dairy Queen;dqfanfeed;DQ grill;dqfansurv,,,,,,,US,Dairy Queen
6070,Jo-Ann Fabric and Craft Stores,Jo-Ann Fabric;joann.com,,,,,,,US,Jo-Ann Fabric and Craft Stores
6288,Arby's,Arby's;|ARBYS|;|ARBY|,,,,,,,US,Arby's
12,Staples,Staples,,,,,,,US,Staples
98,QuikTrip,QuikTrip;QulkTrip;Qu1kTrip,,,,,,,US,QuikTrip
5883,Party City,Party City,,,,,,,US,Party City
104,RaceTrac,RaceTrac,,,,,,,US,RaceTrac
107,Holiday Station,Holiday Station,,,,,,,US,Holiday Station
8224,The Vitamin Shoppe,The Vitamin Shoppe,,,,,,,US,The Vitamin Shoppe
8366,Domino's Pizza,Domino's Pizza,,,,,,,US,Domino's Pizza
5906,Old Navy,Old Navy,,,,,,,US,Old Navy
7602,Carrs,Carrs,,,,,,,US,Carrs
6033,IKEA,|IKEA|,,,,,,,US,IKEA
7005,Panda Express,Panda Express,,,,,,,US,Panda Express
5917,Marshalls,|Marshalls|;Marshallsfeed,,,,,,,US,Marshalls
172,KFC,|KFC|,,,,,,,US,KFC
13,Babies R Us,Babies R Us,,,,,,,US,Babies R Us
8490,Panera Bread,Panera Bread;MyPanera,,,,,,,US,Panera Bread
7275,Applebee's,Applebee's;APPLEBEES,,,,,,,US,Applebee's
5994,Payless ShoeSource,Payless Shoe,,,,,,,US,Payless ShoeSource
6351,Popeyes Louisiana Kitchen,Popeyes,,,,,,,US,Popeyes Louisiana Kitchen
7785,Roche Bros,Roche Bros,,,,,,,US,Roche Bros
8680,VG's Grocery,VG's Grocery,,,,,,,US,VG's Grocery
7703,Kings Food Markets,Kings Food Markets,,,,,,,US,Kings Food Markets
97,Haggen Northwest Fresh,Haggen Northwest Fresh;Haggensurvey,,,,,,,US,Haggen Northwest Fresh
6065,A.C. Moore,A.C. Moore,,,,,,,US,A.C. Moore
6717,MAPCO Mart,|MAPCO|,,,,,,,US,MAPCO Mart
